,Sex,Length,Diameter,Height,Whole weight,Shucked weight,Viscera weight,Shell weight,Rings
3765,I,0.535,0.45,0.135,0.728,0.2845,0.1845,0.265,9
3995,I,0.245,0.175,0.055,0.0785,0.04,0.018000000000000002,0.02,5
155,M,0.515,0.405,0.13,0.722,0.32,0.131,0.21,10
985,M,0.57,0.45,0.155,1.1935,0.513,0.21,0.34299999999999997,10
4003,I,0.51,0.39,0.125,0.597,0.293,0.1265,0.1555,8
1180,M,0.655,0.515,0.16,1.31,0.5529999999999999,0.369,0.345,11
1610,I,0.545,0.42,0.125,0.7170000000000001,0.358,0.11199999999999999,0.22,8
1739,M,0.675,0.525,0.16,1.2835,0.5720000000000001,0.2755,0.3545,13
2168,M,0.335,0.235,0.085,0.1545,0.066,0.0345,0.045,6
3886,F,0.46,0.375,0.12,0.4915,0.2205,0.08800000000000001,0.17,7
3714,F,0.725,0.56,0.185,1.7919999999999998,0.873,0.36700000000000005,0.435,11
3213,F,0.555,0.42,0.14,0.868,0.33,0.243,0.21,13
3493,M,0.555,0.44,0.15,0.838,0.4155,0.146,0.23,8
700,M,0.385,0.285,0.105,0.2905,0.1215,0.0685,0.0875,12
3702,F,0.665,0.54,0.195,1.764,0.8505,0.3615,0.47,11
644,M,0.45,0.34,0.13,0.3715,0.1605,0.0795,0.105,9
3891,F,0.56,0.46,0.18,0.97,0.342,0.196,0.355,12
929,I,0.44,0.345,0.13,0.4495,0.209,0.0835,0.134,6
1237,I,0.375,0.275,0.095,0.2465,0.11,0.0415,0.0775,6
1850,I,0.485,0.36,0.12,0.5155,0.2465,0.1025,0.147,8
2578,M,0.515,0.395,0.12,0.6459999999999999,0.285,0.1365,0.172,9
246,I,0.32,0.245,0.08,0.1585,0.0635,0.0325,0.05,13
923,I,0.425,0.34,0.1,0.382,0.16399999999999998,0.096,0.1,6
3671,I,0.595,0.47,0.135,0.9365,0.434,0.184,0.287,10
2097,M,0.425,0.33,0.08,0.361,0.134,0.0825,0.125,7
1767,M,0.39,0.28,0.125,0.564,0.3035,0.0955,0.14300000000000002,7
3107,I,0.37,0.275,0.1,0.2815,0.1505,0.0505,0.068,5
3800,M,0.74,0.58,0.205,2.381,0.8155,0.4695,0.488,12
4166,I,0.475,0.365,0.115,0.499,0.23199999999999998,0.0885,0.156,10
4108,I,0.48,0.35,0.1,0.519,0.2365,0.1275,0.126,7
543,M,0.445,0.35,0.115,0.3615,0.1565,0.0695,0.11699999999999999,8
1514,F,0.655,0.54,0.215,1.5555,0.695,0.29600000000000004,0.444,11
1746,M,0.7,0.565,0.175,1.8565,0.8445,0.3935,0.54,10
2588,F,0.57,0.435,0.14,0.8585,0.3905,0.196,0.2295,8
259,F,0.59,0.475,0.16,1.1015,0.4775,0.2555,0.295,13
3963,I,0.27,0.205,0.075,0.11800000000000001,0.059000000000000004,0.031,0.0305,4
3480,I,0.45,0.34,0.105,0.4385,0.21,0.0925,0.12,8
927,I,0.435,0.325,0.12,0.3995,0.1815,0.061,0.1125,8
612,M,0.325,0.24,0.075,0.155,0.0475,0.0355,0.06,9
1023,F,0.64,0.5,0.175,1.3940000000000001,0.4935,0.29100000000000004,0.4,10
1340,M,0.585,0.465,0.155,0.9145,0.4555,0.1965,0.235,9
219,F,0.415,0.305,0.13,0.32,0.1305,0.0755,0.105,8
3334,I,0.39,0.3,0.105,0.259,0.0955,0.038,0.085,8
485,F,0.585,0.465,0.14,0.9079999999999999,0.381,0.1615,0.315,13
2997,F,0.625,0.49,0.11,1.136,0.5265,0.1915,0.2925,9
1417,M,0.705,0.565,0.515,2.21,1.1075,0.4865,0.512,10
258,F,0.635,0.505,0.17,1.415,0.605,0.297,0.365,15
3074,M,0.675,0.52,0.145,1.3645,0.557,0.3405,0.385,11
386,M,0.54,0.42,0.155,0.7385,0.3515,0.152,0.215,12
847,F,0.545,0.44,0.135,0.9185,0.429,0.2015,0.2375,10
3570,M,0.58,0.47,0.165,1.041,0.54,0.166,0.27899999999999997,9
3469,F,0.715,0.585,0.23,2.0725,0.8655,0.4095,0.565,10
3048,I,0.59,0.47,0.145,0.9740000000000001,0.45299999999999996,0.23600000000000002,0.289,8
1839,I,0.42,0.325,0.1,0.368,0.1675,0.0625,0.1135,11
1788,F,0.545,0.415,0.2,1.358,0.5670000000000001,0.318,0.40299999999999997,10
1402,M,0.65,0.51,0.19,1.5419999999999998,0.7155,0.3735,0.375,9
3994,I,0.185,0.135,0.045,0.032,0.011000000000000001,0.0065,0.01,4
3339,F,0.585,0.475,0.185,0.8575,0.3465,0.1785,0.275,12
2791,M,0.625,0.5,0.14,1.0959999999999999,0.5445,0.2165,0.295,10
2852,F,0.645,0.49,0.16,1.1665,0.4935,0.3155,0.299,9
1095,I,0.475,0.35,0.11,0.4565,0.20600000000000002,0.099,0.13,6
3874,F,0.525,0.41,0.15,0.708,0.27399999999999997,0.151,0.25,12
3784,M,0.62,0.48,0.155,1.2555,0.527,0.374,0.3175,11
2686,M,0.63,0.505,0.15,1.3165,0.6325,0.2465,0.37,11
507,M,0.585,0.455,0.225,1.055,0.3815,0.221,0.365,15
7,F,0.545,0.425,0.125,0.768,0.294,0.1495,0.26,16
3250,F,0.435,0.35,0.125,0.45899999999999996,0.19699999999999998,0.1145,0.145,9
2166,I,0.38,0.28,0.085,0.2735,0.115,0.061,0.085,6
2288,I,0.33,0.265,0.09,0.18,0.068,0.036000000000000004,0.06,6
3929,F,0.65,0.515,0.215,1.4980000000000002,0.564,0.32299999999999995,0.425,16
3321,I,0.49,0.385,0.14,0.5425,0.198,0.127,0.175,11
378,M,0.565,0.465,0.175,0.995,0.3895,0.183,0.37,15
2955,M,0.65,0.52,0.195,1.676,0.693,0.44,0.47,15
678,F,0.45,0.38,0.165,0.8165,0.25,0.1915,0.265,23
3931,I,0.55,0.44,0.165,0.8605,0.312,0.16899999999999998,0.3,17
1356,F,0.6,0.455,0.145,0.8895,0.419,0.1715,0.26899999999999996,10
1011,F,0.625,0.48,0.17,1.3525,0.6235,0.278,0.365,10
1552,I,0.39,0.285,0.1,0.281,0.1275,0.062,0.077,7
3169,M,0.56,0.45,0.155,0.9125,0.3595,0.271,0.35,10
65,M,0.475,0.355,0.12,0.48,0.23399999999999999,0.1015,0.135,8
2181,M,0.535,0.42,0.165,0.9195,0.3355,0.1985,0.26,16
3263,M,0.565,0.45,0.115,0.9085,0.39799999999999996,0.19699999999999998,0.29,17
1936,M,0.625,0.495,0.155,1.0485,0.48700000000000004,0.212,0.3215,11
3309,I,0.485,0.355,0.12,0.5085,0.21,0.122,0.135,9
679,F,0.37,0.275,0.1,0.2225,0.09300000000000001,0.026000000000000002,0.08,8
3113,I,0.425,0.325,0.105,0.3975,0.1815,0.081,0.1175,7
781,M,0.505,0.385,0.15,0.6415,0.24600000000000002,0.152,0.215,12
2864,I,0.31,0.23,0.07,0.1245,0.0505,0.0265,0.038,6
3859,F,0.57,0.44,0.19,1.018,0.447,0.207,0.265,9
1539,I,0.355,0.26,0.09,0.1985,0.0715,0.0495,0.057999999999999996,7
1533,I,0.295,0.215,0.07,0.121,0.047,0.0155,0.0405,6
2912,I,0.585,0.45,0.135,0.855,0.3795,0.187,0.26,9
3982,I,0.58,0.435,0.15,0.8915,0.363,0.1925,0.2515,6
2287,F,0.385,0.305,0.105,0.3315,0.1365,0.0745,0.1,7
883,M,0.66,0.53,0.17,1.3905,0.5905,0.212,0.45299999999999996,15
1091,I,0.45,0.33,0.11,0.3685,0.16,0.0885,0.102,6
382,M,0.485,0.4,0.135,0.6629999999999999,0.313,0.13699999999999998,0.2,10
3020,I,0.45,0.34,0.125,0.4045,0.171,0.07,0.1345,8
3540,I,0.445,0.355,0.095,0.3615,0.1415,0.0785,0.12,8
2596,F,0.6,0.46,0.145,0.9325,0.3985,0.2245,0.248,8
31,F,0.68,0.56,0.165,1.639,0.6055,0.2805,0.46,15
2623,F,0.705,0.56,0.205,2.381,0.9915,0.5005,0.624,10
1729,M,0.665,0.525,0.175,1.443,0.6635,0.3845,0.353,11
3056,M,0.615,0.485,0.215,0.9615,0.42200000000000004,0.17600000000000002,0.29,11
610,F,0.44,0.345,0.17,0.4085,0.15,0.0825,0.1515,12
570,I,0.45,0.35,0.14,0.474,0.21,0.109,0.1275,16
343,F,0.505,0.375,0.18,0.568,0.2325,0.1495,0.17,12
4094,M,0.63,0.53,0.175,1.4135,0.667,0.2945,0.3555,13
2281,I,0.485,0.415,0.14,0.5705,0.25,0.134,0.185,8
3278,M,0.525,0.415,0.16,0.6445,0.26,0.1575,0.22,12
3652,F,0.525,0.425,0.14,0.8735,0.4205,0.182,0.2225,10
3345,F,0.48,0.38,0.145,0.59,0.23199999999999998,0.141,0.23,12
2656,M,0.545,0.42,0.12,0.7865,0.40299999999999997,0.185,0.17,7
1192,M,0.7,0.565,0.18,1.751,0.895,0.3355,0.446,9
1627,M,0.57,0.45,0.14,0.795,0.3385,0.14800000000000002,0.245,9
2880,I,0.475,0.375,0.11,0.494,0.21100000000000002,0.109,0.1545,8
1135,I,0.57,0.44,0.15,0.755,0.3425,0.16,0.22399999999999998,8
4007,F,0.585,0.46,0.15,1.0035,0.503,0.2105,0.2515,11
3441,F,0.465,0.355,0.115,0.4705,0.1955,0.11800000000000001,0.126,7
841,F,0.495,0.41,0.125,0.7555,0.3355,0.129,0.214,9
2678,M,0.615,0.45,0.15,1.198,0.7070000000000001,0.2095,0.2505,7
3719,I,0.38,0.28,0.095,0.2885,0.165,0.0435,0.067,7
965,M,0.51,0.39,0.135,0.769,0.3935,0.1455,0.19,8
528,F,0.57,0.45,0.16,0.9715,0.3965,0.255,0.26,12
176,I,0.315,0.21,0.06,0.125,0.06,0.0375,0.035,5
422,F,0.49,0.39,0.135,0.5785,0.2465,0.12300000000000001,0.2,13
3083,I,0.225,0.17,0.05,0.0515,0.019,0.012,0.017,4
3488,I,0.52,0.38,0.13,0.5345,0.2375,0.122,0.1535,8
2778,F,0.585,0.455,0.13,0.8755,0.41100000000000003,0.2065,0.225,8
572,F,0.59,0.455,0.155,1.0659999999999998,0.382,0.2275,0.415,20
2452,M,0.395,0.305,0.105,0.282,0.0975,0.065,0.096,9
288,M,0.44,0.355,0.125,0.4775,0.132,0.0815,0.19,9
1366,I,0.61,0.465,0.15,0.9605,0.4495,0.1725,0.28600000000000003,9
1411,F,0.67,0.53,0.225,1.5615,0.63,0.48700000000000004,0.3725,11
2800,F,0.64,0.495,0.17,1.2265,0.49,0.377,0.2875,11
3730,M,0.515,0.37,0.115,0.6145,0.3415,0.155,0.146,9
1732,M,0.665,0.52,0.175,1.3725,0.606,0.32,0.395,12
2580,M,0.525,0.425,0.125,0.812,0.4035,0.1705,0.195,8
2285,I,0.42,0.33,0.1,0.35200000000000004,0.1635,0.08900000000000001,0.1,9
2764,I,0.55,0.465,0.15,0.9359999999999999,0.48100000000000004,0.174,0.2435,9
1299,I,0.53,0.415,0.11,0.5745,0.2525,0.1235,0.18899999999999997,9
1557,I,0.425,0.325,0.11,0.317,0.135,0.048,0.09,8
1960,F,0.65,0.51,0.185,1.375,0.531,0.384,0.3985,10
383,M,0.47,0.375,0.12,0.5565,0.226,0.122,0.195,12
3451,M,0.55,0.44,0.155,0.9155,0.3645,0.195,0.25,8
370,F,0.65,0.545,0.165,1.5659999999999998,0.6645,0.3455,0.415,16
2053,M,0.46,0.345,0.11,0.4595,0.235,0.0885,0.11599999999999999,7
2902,I,0.56,0.435,0.13,0.777,0.354,0.17300000000000001,0.222,9
3865,M,0.525,0.395,0.165,0.782,0.285,0.1405,0.285,19
1105,F,0.51,0.4,0.125,0.545,0.261,0.115,0.1385,6
1566,I,0.465,0.37,0.12,0.4365,0.188,0.0815,0.147,9
1373,M,0.615,0.475,0.17,1.129,0.4795,0.302,0.3,10
4156,M,0.475,0.37,0.11,0.4895,0.2185,0.107,0.146,8
141,F,0.55,0.45,0.145,0.741,0.295,0.1435,0.2665,10
3580,F,0.62,0.48,0.165,1.043,0.4835,0.221,0.31,10
491,M,0.58,0.46,0.13,0.9209999999999999,0.35700000000000004,0.18100000000000002,0.29,13
198,M,0.56,0.45,0.16,0.922,0.43200000000000005,0.17800000000000002,0.26,15
2646,I,0.495,0.38,0.12,0.512,0.233,0.1205,0.136,7
1171,M,0.625,0.48,0.185,1.2065,0.5870000000000001,0.29,0.28600000000000003,8
1226,I,0.35,0.27,0.075,0.215,0.1,0.036000000000000004,0.065,6
1586,I,0.515,0.35,0.105,0.4745,0.213,0.12300000000000001,0.1275,10
3135,M,0.46,0.35,0.125,0.5165,0.1885,0.1145,0.185,9
3432,I,0.36,0.27,0.09,0.21899999999999997,0.09699999999999999,0.0405,0.065,6
1650,I,0.59,0.46,0.145,0.9015,0.419,0.1785,0.26,11
195,M,0.5,0.405,0.155,0.772,0.34600000000000003,0.1535,0.245,12
874,F,0.625,0.49,0.2,1.3825,0.5895,0.285,0.381,11
2882,I,0.5,0.39,0.13,0.5075,0.2115,0.10400000000000001,0.1755,9
4018,M,0.66,0.485,0.155,1.2275,0.61,0.27399999999999997,0.3,8
840,M,0.49,0.385,0.125,0.609,0.3065,0.096,0.1775,8
581,I,0.55,0.425,0.15,0.8059999999999999,0.376,0.171,0.245,14
3198,M,0.45,0.335,0.14,0.478,0.1865,0.115,0.16,11
1261,I,0.45,0.33,0.105,0.44799999999999995,0.20800000000000002,0.08900000000000001,0.12,9
905,I,0.32,0.24,0.09,0.1575,0.07,0.0265,0.0425,5
631,F,0.43,0.34,0.12,0.391,0.1555,0.095,0.1405,7
3378,M,0.335,0.255,0.075,0.1635,0.0615,0.0345,0.057,8
1513,M,0.65,0.485,0.14,1.175,0.475,0.2435,0.215,8
162,M,0.61,0.485,0.175,1.2445,0.544,0.297,0.345,12
2206,F,0.29,0.225,0.075,0.14,0.0515,0.0235,0.04,5
3980,F,0.525,0.41,0.115,0.7745,0.41600000000000004,0.163,0.18,7
3075,F,0.68,0.52,0.185,1.494,0.615,0.3935,0.406,11
2148,M,0.415,0.31,0.09,0.3245,0.1305,0.0735,0.115,8
2830,F,0.525,0.43,0.135,0.8435,0.4325,0.18,0.1815,9
925,I,0.43,0.325,0.1,0.3645,0.1575,0.0825,0.105,7
3845,M,0.455,0.35,0.105,0.41600000000000004,0.1625,0.09699999999999999,0.145,11
547,M,0.205,0.155,0.045,0.0425,0.017,0.0055,0.0155,7
2259,F,0.59,0.465,0.16,1.1005,0.506,0.2525,0.295,13
3588,M,0.65,0.515,0.185,1.3745,0.75,0.1805,0.369,12
1450,I,0.455,0.335,0.135,0.501,0.27399999999999997,0.0995,0.1065,7
2827,I,0.5,0.375,0.12,0.529,0.2235,0.12300000000000001,0.16,8
2233,M,0.595,0.475,0.17,1.0965,0.419,0.22899999999999998,0.35,17
611,M,0.195,0.145,0.05,0.032,0.01,0.008,0.012,4
2337,M,0.56,0.455,0.165,0.86,0.4015,0.1695,0.245,11
3896,M,0.76,0.575,0.19,1.829,0.7035,0.386,0.56,14
1948,M,0.635,0.515,0.165,1.229,0.5055,0.2975,0.3535,10
2077,F,0.61,0.43,0.14,0.909,0.43799999999999994,0.2,0.22,8
742,F,0.535,0.42,0.15,0.7365,0.2785,0.18600000000000003,0.215,14
637,M,0.355,0.26,0.085,0.1905,0.081,0.0485,0.055,6
2429,M,0.34,0.255,0.095,0.213,0.081,0.034,0.07,9
3500,M,0.6,0.41,0.145,0.9390000000000001,0.4475,0.196,0.268,8
2696,F,0.65,0.49,0.155,1.122,0.545,0.228,0.3055,9
1097,I,0.48,0.38,0.125,0.6245,0.3395,0.1085,0.1665,8
2346,F,0.56,0.43,0.125,0.8025,0.313,0.1715,0.263,13
48,I,0.325,0.245,0.07,0.161,0.0755,0.0255,0.045,6
3909,F,0.455,0.375,0.125,0.45799999999999996,0.1985,0.111,0.12,10
921,I,0.42,0.32,0.115,0.376,0.16899999999999998,0.092,0.1,5
3792,F,0.655,0.52,0.175,1.472,0.6275,0.27,0.45,13
756,M,0.615,0.525,0.155,1.1375,0.36700000000000005,0.23600000000000002,0.37,20
2619,M,0.69,0.54,0.185,1.71,0.7725,0.3855,0.4325,8
3610,M,0.58,0.45,0.16,0.8675,0.3935,0.221,0.215,9
3900,M,0.445,0.345,0.14,0.47600000000000003,0.2055,0.1015,0.1085,15
2453,I,0.325,0.2,0.08,0.0995,0.0395,0.0225,0.032,8
3828,M,0.68,0.52,0.175,1.5430000000000001,0.7525,0.35100000000000003,0.374,11
1498,M,0.625,0.47,0.18,1.136,0.451,0.3245,0.305,11
3687,I,0.625,0.485,0.16,1.15,0.5255,0.257,0.3315,11
836,M,0.47,0.375,0.12,0.5805,0.266,0.0935,0.16899999999999998,8
2932,M,0.615,0.455,0.15,0.9335,0.382,0.247,0.2615,10
3163,F,0.55,0.44,0.125,0.765,0.33,0.2125,0.245,9
4022,M,0.72,0.545,0.195,1.7475,0.8215,0.38299999999999995,0.4705,11
1456,I,0.475,0.365,0.115,0.45899999999999996,0.2175,0.09300000000000001,0.1165,7
2986,M,0.535,0.405,0.175,1.2705,0.5479999999999999,0.3265,0.337,13
1511,M,0.65,0.515,0.175,1.466,0.677,0.3045,0.4,10
1070,I,0.375,0.275,0.1,0.2325,0.1165,0.042,0.065,6
3916,F,0.52,0.41,0.16,0.7120000000000001,0.2845,0.153,0.225,10
3964,I,0.27,0.19,0.06,0.099,0.0445,0.017,0.03,5
2123,F,0.29,0.21,0.075,0.275,0.113,0.0675,0.035,6
2704,M,0.7,0.525,0.175,1.7585,0.8745,0.3615,0.47,10
3835,F,0.425,0.35,0.1,0.4425,0.175,0.0755,0.175,7
3000,M,0.64,0.485,0.16,1.006,0.456,0.2245,0.2835,9
3336,F,0.45,0.35,0.125,0.4435,0.185,0.09,0.145,11
2230,M,0.555,0.43,0.165,0.7575,0.2735,0.1635,0.275,13
3078,F,0.695,0.535,0.2,1.5855,0.667,0.33399999999999996,0.47100000000000003,11
3286,F,0.62,0.51,0.175,1.1255,0.4985,0.22699999999999998,0.315,14
2535,F,0.64,0.5,0.18,1.4995,0.593,0.314,0.431,11
2408,I,0.62,0.485,0.17,1.208,0.4805,0.3045,0.33,15
2775,I,0.585,0.46,0.145,0.8465,0.33899999999999997,0.16699999999999998,0.295,10
3091,M,0.495,0.38,0.12,0.474,0.19699999999999998,0.1065,0.1545,10
2798,M,0.64,0.485,0.15,1.0979999999999999,0.5195,0.222,0.3175,10
3796,F,0.675,0.54,0.21,1.5930000000000002,0.6859999999999999,0.318,0.45,11
4102,M,0.68,0.545,0.185,1.672,0.7075,0.364,0.48,11
1569,I,0.475,0.36,0.145,0.6325,0.2825,0.13699999999999998,0.19,8
3340,I,0.54,0.435,0.145,0.97,0.4285,0.22,0.264,17
2531,M,0.605,0.475,0.175,1.2009999999999998,0.5395,0.275,0.309,10
1407,M,0.655,0.49,0.175,1.3585,0.6395,0.294,0.365,10
867,F,0.615,0.5,0.175,1.3769999999999998,0.5585,0.33,0.292,12
926,I,0.43,0.325,0.09,0.425,0.217,0.087,0.095,7
4168,F,0.515,0.4,0.125,0.615,0.2865,0.12300000000000001,0.1765,8
997,M,0.59,0.47,0.16,1.206,0.479,0.2425,0.309,8
3215,F,0.62,0.485,0.175,1.271,0.531,0.3075,0.37,11
1099,I,0.5,0.375,0.14,0.5495,0.248,0.11199999999999999,0.1585,7
1132,F,0.565,0.45,0.175,1.0095,0.447,0.2375,0.2645,9
3435,I,0.375,0.285,0.09,0.257,0.1045,0.062,0.075,7
1738,F,0.67,0.54,0.195,1.619,0.74,0.3305,0.465,11
210,F,0.49,0.365,0.145,0.6345,0.1995,0.1625,0.22,10
1910,F,0.58,0.5,0.165,0.925,0.37,0.185,0.3005,10
59,F,0.505,0.4,0.125,0.583,0.24600000000000002,0.13,0.175,7
1211,I,0.245,0.205,0.06,0.0765,0.034,0.013999999999999999,0.0215,4
1965,M,0.66,0.51,0.175,1.218,0.5055,0.303,0.37,11
1572,I,0.48,0.37,0.125,0.474,0.179,0.1035,0.175,9
4118,M,0.65,0.525,0.185,1.3455,0.586,0.278,0.3865,9
3217,M,0.425,0.34,0.12,0.38799999999999996,0.149,0.087,0.125,10
765,M,0.545,0.45,0.15,0.978,0.3365,0.1905,0.3,11
2238,I,0.46,0.335,0.11,0.444,0.225,0.0745,0.11,8
1378,F,0.62,0.5,0.15,1.2930000000000001,0.596,0.3135,0.354,10
1078,I,0.42,0.31,0.095,0.27899999999999997,0.1255,0.051,0.08800000000000001,6
1362,F,0.605,0.47,0.16,1.0835,0.5405,0.2215,0.275,12
2284,I,0.405,0.315,0.105,0.34700000000000003,0.1605,0.0785,0.1,9
3168,M,0.605,0.47,0.115,1.114,0.3925,0.29100000000000004,0.31,15
3631,I,0.295,0.22,0.085,0.1285,0.0585,0.027000000000000003,0.0365,5
3574,F,0.6,0.47,0.17,1.0805,0.4995,0.2245,0.3205,9
582,F,0.645,0.525,0.19,1.4635,0.6615,0.3435,0.435,19
2091,F,0.505,0.39,0.115,0.66,0.3045,0.1555,0.175,8
1907,F,0.575,0.43,0.155,0.7955,0.3485,0.1925,0.22,9
3386,M,0.515,0.4,0.125,0.955,0.341,0.2535,0.26,13
940,I,0.46,0.345,0.105,0.449,0.196,0.0945,0.1265,7
1080,M,0.43,0.335,0.12,0.397,0.1985,0.0865,0.1035,7
187,F,0.63,0.5,0.185,1.383,0.54,0.3315,0.38,10
941,I,0.465,0.365,0.115,0.467,0.2315,0.0925,0.113,7
2463,M,0.515,0.405,0.14,0.8505,0.312,0.146,0.315,17
2846,M,0.625,0.475,0.175,1.3405,0.6559999999999999,0.28300000000000003,0.337,10
1602,I,0.54,0.425,0.14,0.742,0.32,0.1395,0.25,9
4062,M,0.63,0.49,0.15,1.1955,0.5845,0.257,0.3,9
1694,M,0.63,0.505,0.17,1.0915,0.4615,0.266,0.3,9
4045,M,0.59,0.45,0.16,0.998,0.445,0.214,0.301,9
226,F,0.39,0.29,0.125,0.3055,0.121,0.08199999999999999,0.09,7
1877,I,0.54,0.39,0.125,0.6255,0.2525,0.158,0.19,8
535,I,0.465,0.38,0.13,0.45399999999999996,0.1895,0.08,0.155,11
3071,F,0.655,0.455,0.17,1.2895,0.5870000000000001,0.3165,0.3415,11
3711,M,0.705,0.55,0.21,1.4385,0.655,0.3255,0.462,11
3328,I,0.575,0.475,0.17,0.9670000000000001,0.3775,0.284,0.275,13
697,M,0.28,0.205,0.1,0.1165,0.0545,0.0285,0.03,5
3905,M,0.38,0.27,0.095,0.21899999999999997,0.0835,0.0515,0.07,6
1510,F,0.65,0.545,0.175,1.5245,0.59,0.326,0.495,10
1952,I,0.64,0.49,0.135,1.1,0.488,0.2505,0.2925,10
2014,I,0.47,0.375,0.105,0.441,0.16699999999999998,0.0865,0.145,10
3858,F,0.565,0.45,0.165,0.9765,0.322,0.244,0.37,12
2981,F,0.505,0.38,0.13,0.693,0.391,0.1195,0.1515,8
1037,M,0.66,0.535,0.19,1.5905,0.6425,0.297,0.5175,9
208,F,0.525,0.415,0.17,0.8325,0.2755,0.1685,0.31,13
1675,F,0.61,0.485,0.18,1.2795,0.5735,0.2855,0.355,7
565,M,0.35,0.255,0.065,0.179,0.0705,0.0385,0.06,10
313,F,0.62,0.47,0.2,1.2255,0.381,0.27,0.435,23
601,F,0.385,0.315,0.11,0.28600000000000003,0.1225,0.0635,0.0835,10
233,I,0.275,0.215,0.075,0.1155,0.0485,0.028999999999999998,0.035,7
2644,I,0.49,0.375,0.125,0.5445,0.27899999999999997,0.115,0.13,8
931,F,0.445,0.335,0.11,0.4355,0.2025,0.1095,0.1195,6
3431,I,0.35,0.265,0.095,0.19899999999999998,0.073,0.049,0.06,5
1593,I,0.525,0.38,0.135,0.615,0.261,0.159,0.175,8
111,M,0.465,0.36,0.105,0.431,0.172,0.107,0.175,9
3271,M,0.52,0.425,0.155,0.7735,0.297,0.12300000000000001,0.255,17
1089,I,0.45,0.33,0.105,0.3715,0.1865,0.0785,0.0975,7
2918,I,0.6,0.445,0.135,0.9205,0.445,0.2035,0.253,9
230,M,0.555,0.445,0.135,0.836,0.336,0.1625,0.275,13
1436,I,0.395,0.295,0.09,0.3025,0.14300000000000002,0.0665,0.0765,5
1551,I,0.39,0.3,0.09,0.252,0.1065,0.053,0.08,7
472,I,0.43,0.34,0.12,0.3575,0.151,0.0645,0.1045,9
2232,F,0.56,0.445,0.18,0.903,0.3575,0.2045,0.295,9
3872,F,0.515,0.4,0.115,0.578,0.191,0.1445,0.17,9
1783,M,0.525,0.38,0.125,0.65,0.303,0.155,0.159,7
3115,I,0.44,0.34,0.12,0.4995,0.2965,0.0945,0.1185,6
2727,I,0.405,0.305,0.1,0.271,0.0965,0.061,0.091,7
4114,F,0.57,0.45,0.15,0.9645,0.531,0.18899999999999997,0.209,9
1556,I,0.415,0.325,0.1,0.313,0.139,0.0625,0.0965,7
3470,M,0.72,0.565,0.2,1.787,0.718,0.385,0.529,11
361,F,0.59,0.465,0.15,0.997,0.392,0.24600000000000002,0.34,12
135,F,0.425,0.33,0.115,0.406,0.1635,0.081,0.1355,8
1134,F,0.57,0.445,0.145,0.8775,0.41200000000000003,0.217,0.22,8
2159,F,0.64,0.51,0.2,1.3905,0.61,0.3315,0.41,12
1151,M,0.585,0.465,0.16,0.9555,0.4595,0.23600000000000002,0.265,7
2702,M,0.68,0.52,0.165,1.4775,0.7240000000000001,0.27899999999999997,0.406,11
2135,M,0.565,0.425,0.1,0.7145,0.3055,0.166,0.18,12
2628,I,0.29,0.21,0.06,0.1045,0.0415,0.022000000000000002,0.035,5
1053,I,0.185,0.13,0.045,0.028999999999999998,0.012,0.0075,0.0095,4
3538,M,0.435,0.335,0.11,0.4385,0.2075,0.0715,0.1315,7
22,F,0.565,0.44,0.155,0.9395,0.4275,0.214,0.27,12
2066,F,0.54,0.385,0.14,0.7655,0.3265,0.11599999999999999,0.2365,10
3015,I,0.42,0.32,0.11,0.309,0.115,0.0645,0.0945,6
2757,I,0.525,0.375,0.12,0.6315,0.3045,0.114,0.19,9
695,I,0.315,0.23,0.09,0.1285,0.043,0.04,0.04,7
1846,I,0.465,0.37,0.11,0.445,0.1635,0.096,0.166,7
420,F,0.67,0.54,0.165,1.5015,0.518,0.358,0.505,14
2389,M,0.42,0.34,0.125,0.4495,0.165,0.1125,0.14400000000000002,11
460,M,0.38,0.285,0.1,0.2665,0.115,0.061,0.075,11
1067,I,0.34,0.265,0.08,0.2015,0.09,0.0475,0.055,5
87,M,0.56,0.44,0.16,0.8645,0.3305,0.2075,0.26,10
282,F,0.455,0.355,0.12,0.4495,0.177,0.10400000000000001,0.15,9
1512,F,0.65,0.5,0.16,1.3825,0.7020000000000001,0.304,0.3195,9
1488,M,0.6,0.465,0.2,1.2590000000000001,0.6405,0.1985,0.35700000000000004,9
1592,I,0.525,0.39,0.12,0.664,0.3115,0.147,0.17800000000000002,9
4037,I,0.54,0.415,0.155,0.7020000000000001,0.322,0.16699999999999998,0.19,10
1474,M,0.55,0.425,0.16,0.7929999999999999,0.34299999999999997,0.2035,0.215,9
859,F,0.595,0.48,0.16,1.2095,0.5225,0.29600000000000004,0.32,8
533,F,0.435,0.335,0.11,0.38,0.1695,0.086,0.11,9
3660,F,0.545,0.41,0.125,0.654,0.2945,0.1315,0.205,10
4122,I,0.46,0.365,0.11,0.4495,0.1755,0.102,0.15,8
1811,M,0.65,0.525,0.19,1.6125,0.777,0.3685,0.3965,11
2333,M,0.695,0.55,0.22,1.5515,0.5660000000000001,0.3835,0.445,13
3322,F,0.48,0.37,0.13,0.5885,0.2475,0.1505,0.1595,15
3376,I,0.31,0.235,0.09,0.127,0.048,0.031,0.04,6
2980,I,0.5,0.37,0.115,0.5745,0.306,0.11199999999999999,0.141,7
